"bearing_1","bearing_2","bearing_3","bearing_4","bearing_5","bearing_6"
-1,265.53,234.33,-1,-1,-1
79.12,190.94,137.82,-1,-1,-1
288.5,-1,258.62,-1,231.41,-1
-1,191.98,139.29,-1,-1,-1
80.98,192.19,137.36,-1,-1,-1
107.69,105.38,-1,105.69,104.82,-1
97.55,101.01,-1,95.95,98.41,-1
-1,279.21,-1,264.98,253.76,-1
282.81,-1,260.39,-1,-1,-1
99.53,102.41,146.72,-1,27.35,-1
-1,341.07,-1,315.01,276.06,-1
-1,158.44,145.68,164.4,147.03,-1
278.88,-1,109.57,-1,-1,-1
105.12,149.95,229.57,160.58,121.83,-1
280.72,266.26,-1,242.8,-1,-1
-1,271.41,-1,245.99,-1,-1
281.36,266.11,230.83,243.16,211.86,212.17
-1,197.46,-1,315.33,7.31,-1
-1,-1,-1,-1,103.26,128.49
-1,100.32,107.28,99.12,106.65,123.62
-1,255.51,-1,233.19,-1,-1
-1,-1,243.26,-1,211.66,205.91
-1,338.94,-1,315.57,-1,-1
299.55,275,122.33,-1,122.03,145.37
-1,-1,-1,247.95,216.3,-1
299.88,275.63,246.15,252.15,212.81,-1
-1,-1,9.01,317.22,-1,-1
-1,121.37,126.12,117.09,120.65,-1
-1,-1,91.33,-1,84.81,104.32
-1,312.45,-1,303.78,-1,-1
297.26,-1,243.54,-1,-1,-1
277.44,110.76,-1,-1,-1,-1
109.97,118.67,123.4,118.32,123.19,140.43
-1,-1,-1,285.48,237.24,-1
307,-1,305.18,278.42,-1,-1
103.35,113.16,120.84,-1,-1,-1
-1,97.82,110.54,98.73,-1,-1
113.7,110.55,123.54,345.83,-1,-1
-1,-1,-1,-1,358.45,172.39
99.53,117.73,44.3,-1,123.45,138.79
9.81,339.73,-1,-1,-1,-1
7.59,338.71,6.49,314.93,20.82,-1
4.91,338.03,6,316.34,-1,-1
294.88,-1,275.81,-1,244.88,-1
109.59,130.69,126.91,123.19,123.9,142.8
-1,-1,145.33,171.9,-1,-1
119.86,159.18,144.28,167.5,151.24,231.92
112.48,121.97,120.89,-1,-1,-1
286.15,-1,260.56,-1,-1,-1
-1,323.03,350.03,-1,-1,-1
103.03,106.64,107.63,101.18,105.35,-1
107.12,107.58,140.64,102.46,107.18,117.15
-1,-1,313.86,291.57,-1,-1
291.23,-1,254.44,-1,220.72,-1
290.18,269.5,-1,-1,-1,-1
292.83,-1,255.19,-1,-1,-1
289.57,276.68,250.11,-1,-1,-1
291.51,271.59,246.26,-1,-1,-1
108.62,-1,4.9,315.24,18.55,-1
-1,302.26,299.38,293.71,-1,-1
112.12,241.37,123.1,-1,-1,-1
-1,-1,-1,-1,20.32,7.95
279.3,294.37,297.19,289.71,-1,-1
6.02,339.78,-1,-1,-1,-1
5.25,338.54,3.79,314.39,20.12,-1
94.08,94.9,-1,96.82,-1,-1
-1,-1,103.73,239.79,191.49,120.68
301.1,-1,102.1,-1,-1,-1
300.96,-1,243.58,-1,212.76,-1
298.43,-1,241.37,-1,-1,-1
297.18,-1,240.51,-1,-1,-1
103.31,-1,265.87,-1,252.33,-1
282.13,275.39,-1,259.73,-1,-1
18.94,314.45,97.2,235.31,159.61,-1
-1,114.8,-1,98.38,-1,-1
-1,278.44,130.56,290.75,-1,-1
304.6,96.14,117.55,260.35,111,125.69
93.52,101.11,-1,101.5,103.2,121.25
288.07,-1,77.81,-1,244.03,243.69
281.7,275.79,267.44,259.93,-1,-1
286.48,264.1,260.81,-1,232.39,-1
281.55,273.9,264.92,-1,244.59,244
107.67,115.22,106.44,-1,-1,-1
-1,267.54,264.81,259.64,233.9,-1
282.37,277.45,264.34,-1,242.2,-1
-1,139.78,-1,288.88,-1,-1
282.29,273.19,264.67,259.2,243.81,245.52
110.89,118.4,120.59,119.18,123.17,141.99
116.88,163.07,145.76,167.82,217.26,172.67
256.77,-1,261.3,-1,-1,-1
282.46,115.9,-1,-1,-1,-1
102.69,106.69,113,115.43,-1,-1
-1,272.3,-1,259.08,203.33,-1
-1,-1,104.45,-1,98.74,-1
283.59,284.4,279.33,-1,271.74,-1
282.92,273.62,267.24,259.76,-1,-1
284.19,278.15,264.63,-1,243.95,250.36
-1,-1,270.56,262.15,-1,-1
285.7,274.17,251.02,254.07,227.42,-1
-1,268.58,236.13,248.24,215.1,-1
281.93,274.38,263.13,254.99,232.32,240.26
-1,268.79,-1,249.74,217.12,217.17
302.37,294.17,-1,288.72,-1,-1
17.5,310.26,95.77,237.19,163.46,-1
113.45,161.51,-1,-1,-1,-1
-1,-1,2.73,317.08,14.38,-1
5.83,-1,1.8,-1,14.83,177.62
283.11,278.34,-1,-1,-1,-1
73.06,306.47,263.17,236.16,163.4,183.86
299.93,291.93,-1,289.12,-1,-1
280.67,273.61,215.63,259.96,243.63,240.4
116.03,167.2,146.87,252.63,219.45,-1
-1,-1,-1,171.87,153.3,-1
282.11,274.15,264.13,259.53,244.74,242.08
-1,276.31,252.31,228.06,248.51,241.16
4.77,338.14,346.93,-1,-1,-1
34.87,160.72,-1,-1,-1,-1
294.52,272.4,-1,222.54,228.42,-1
281.67,275.14,-1,260.32,-1,-1
282.16,274.59,247.52,260.23,239.67,222.05
298.05,297.39,296.09,289.61,-1,-1
284.25,-1,266.05,-1,247.13,-1
295.68,289.21,301.18,-1,-1,-1
285.1,274.42,-1,253.32,-1,-1
299.78,278.27,251.56,252.2,217.88,215.99
-1,278.07,-1,251.88,-1,-1
296.2,-1,299.45,287.54,-1,-1
97.43,-1,53.87,-1,-1,-1
251.66,80.24,121.23,117.69,-1,-1
106.85,116.28,121.83,-1,-1,-1
-1,250.3,216.28,235.92,203.53,208.15
292.2,-1,272.92,268.24,250.02,-1
-1,-1,-1,239.1,202.81,-1
249.41,250.88,206.56,126.38,179.64,-1
-1,99.12,-1,99.72,97.76,-1
-1,-1,-1,236.56,202.34,204.77
-1,-1,-1,240.3,205.41,206.97
155.89,197.72,160.45,-1,-1,-1
-1,98.59,107.57,98.69,103.81,117.31
96.25,105.31,107.76,-1,98.71,-1
251.98,250.5,220.98,235.34,203.3,207.68
117.91,219.84,-1,252.34,-1,-1
-1,166.19,-1,168.47,-1,-1
127.83,186.79,150.87,185.09,159.07,177.45
119.63,166.58,141.67,175.34,155.44,-1
-1,267.69,-1,253.38,-1,-1
-1,258.78,-1,236.48,247.94,235.86
-1,258.12,-1,248.94,-1,-1
-1,275.11,-1,252.63,-1,-1
254.21,252.33,215.43,236.79,203.92,195.94
-1,260.78,223.15,241.36,206.18,206.26
102.11,104.76,108.83,99,104.9,-1
120.32,166.73,-1,-1,-1,-1
-1,-1,300.31,289.04,-1,-1
250.99,249.38,213.64,234.38,202.22,206.64
291.94,-1,299.25,-1,-1,-1
102.64,107.46,252.58,253.18,214.42,215.39
-1,107.15,-1,112.09,108.53,-1
-1,102.11,-1,95.95,108.31,124.77
251.67,249.76,213.2,236.11,260.97,-1
177.1,-1,214.61,-1,-1,-1
-1,-1,-1,-1,201.83,205.63
109.72,97.2,-1,-1,-1,-1
-1,102.38,-1,349.93,101.69,-1
83.05,-1,113.18,-1,-1,-1
-1,359.38,-1,105.84,108.68,-1
-1,158.38,138.16,-1,-1,-1
104.11,116.93,-1,-1,-1,-1
-1,115.07,117.15,-1,-1,-1
79.78,-1,112.07,130.56,127.08,-1
-1,121.1,124.49,-1,130.88,142.18
-1,154,138.05,170.68,-1,-1
81.33,95.59,-1,129.67,-1,-1
-1,279.93,282.06,-1,267.07,275.63
119.04,101.85,112.8,101.42,128.24,155
81.26,-1,107.39,-1,103.24,120.87
-1,-1,-1,-1,127.51,147.9
80.17,85.13,113.09,131.02,129.3,151.14
-1,-1,299.55,279.45,-1,-1
280.31,127.93,-1,135.7,128.49,-1
104.94,-1,142.19,-1,-1,-1
97.39,161.62,120.69,135.52,129.89,-1
106.01,159.53,141.59,170.74,-1,-1
104.36,109.56,-1,103.9,106.7,119.98
89.82,106.4,109.89,100.25,104.95,121.53
-1,-1,98.29,97.16,-1,-1
-1,-1,36.22,-1,101.62,-1
284.15,276.85,280.9,102.89,270.06,277.69
97.33,-1,102.99,-1,-1,-1
98.04,106.63,107.83,-1,101.55,122.97
112.87,125.23,-1,131.52,-1,-1
286.41,-1,261.02,282.6,-1,-1
75.79,93.82,-1,-1,-1,-1
-1,94.36,105.37,125.68,-1,-1
101.33,161.11,-1,-1,-1,-1
91.95,96.9,106.35,102.64,105.31,120.69
-1,-1,-1,-1,107.99,115.37
91.94,95.35,100.33,96.94,101.78,119.39
-1,118.11,99.34,-1,-1,-1
84.63,-1,109.27,-1,-1,-1
92.13,100.42,104.08,99.12,105.22,122.87
98.12,162.02,139.04,-1,-1,-1
-1,-1,135.77,-1,149.89,-1
-1,105.25,103.49,-1,-1,-1
92.46,96.67,103.42,92.44,99.75,121.29
-1,-1,111.14,103.43,-1,-1
-1,120.86,116.62,117.26,-1,-1
-1,92.92,-1,95.94,97.47,123.64
-1,121.99,121.78,117.4,123.13,143.87
95.29,91.39,109.82,97.69,103.81,105.94
-1,-1,-1,-1,105.68,117.61
-1,-1,-1,269.95,270.49,277.63
298.4,-1,299.99,-1,-1,-1
-1,100.72,106.77,98.5,-1,-1
283.21,267.93,240.39,249.6,216.11,-1
-1,270.46,213.64,238.42,167.75,128.34
283.28,269.74,237.42,245.21,219.06,-1
-1,-1,-1,-1,216.89,218.72
108.82,109.98,114.76,107.59,-1,-1
95.68,100.85,102.33,98.38,105.45,124.12
-1,-1,277.78,263.89,248.23,-1
-1,289.55,301.72,284.99,-1,-1
309.45,96.75,105.07,100.56,133.91,124.22
-1,-1,-1,95.94,103.93,-1
-1,-1,105.71,94.93,101.31,-1
-1,-1,-1,98.56,100.92,-1
-1,-1,-1,-1,105.35,126.35
110.53,-1,105.04,120.09,-1,-1
296.63,-1,122.25,-1,123.74,139.39
299.23,-1,291.23,-1,-1,-1
-1,95.75,-1,96.93,101.28,119.75
-1,-1,-1,255.67,220.78,218
-1,264.21,230.6,-1,-1,-1
284.09,269.04,243.99,252.46,217.47,220.77
-1,266.49,-1,244.61,-1,-1
248.29,247.31,212.9,234.61,203.35,205.98
276.82,263.85,221.26,242.67,204.01,205.7
91.24,99.47,-1,97.75,-1,-1
249.46,249.51,184.51,234.22,199.08,-1
-1,-1,-1,-1,92.44,203.7
104.21,127.59,-1,135.62,133.66,-1
98.26,97.88,106.14,99.09,104.54,123.61
95.74,98.72,106.25,-1,-1,-1
95.45,97.83,-1,95.29,105.83,120.59
106.18,125.21,-1,123.92,-1,-1
295.9,-1,259.28,-1,-1,-1
287.36,-1,105.09,97.64,102.42,123.2
23.23,353.6,-1,-1,-1,-1
