"RMS_received_1","RMS_received_2","RMS_received_3","RMS_received_4","RMS_received_5","RMS_received_6"
79.99,80.9,78.51,81.4,81.15,82.42
81.97,71.66,65.59,NA,NA,NA
NA,NA,82.49,NA,72.42,NA
77.81,78.4,75.16,79,78.06,81.46
NA,76.82,NA,77.46,79.28,78.37
80.59,82.27,78.19,81.95,82.75,82.95
NA,NA,NA,NA,77.66,79.2
NA,81.8,80.19,83.25,NA,NA
93.61,84.78,83.61,78.24,80.54,NA
NA,87.55,80.85,80.07,85.68,83.46
92.95,84.47,85.98,78.91,79.86,NA
81.22,81.63,80.93,82.1,81.89,81.75
NA,NA,84.48,79.11,84.78,NA
NA,69.92,81.8,71.64,NA,NA
81.31,77.65,76.07,78.86,80.66,78.12
NA,NA,NA,76.06,78.89,NA
NA,NA,77.72,74.04,77.98,NA
NA,NA,NA,75.96,76.4,NA
NA,NA,NA,NA,79.41,77.27
88.31,NA,83.32,88.33,NA,NA
77.93,NA,86.58,NA,84.78,76.94
78.4,NA,75.93,NA,NA,NA
NA,83.1,NA,85.74,84.08,83.48
NA,NA,NA,82.53,85.25,79.16
NA,76.54,75.18,NA,NA,NA
90.74,78.18,82.27,76.72,79.17,76.4
NA,77.47,NA,84.42,NA,NA
89.81,86.36,91.72,85.31,80,81.85
86.69,83.63,83.86,83.75,83.13,79.71
71.26,75.41,NA,73.43,NA,NA
87,85.26,90.77,86.4,77.6,NA
79.01,75.92,NA,76.64,71.45,NA
77.71,79.74,76.08,81.61,81.2,75.53
75.18,78.07,68.81,NA,NA,NA
74.84,77.39,NA,77.56,80.53,77
80.14,82.62,NA,82.36,NA,NA
79.4,NA,83.35,NA,NA,NA
79.41,NA,76.32,77.18,91.3,75.78
90.21,93.17,NA,NA,NA,NA
NA,86.54,NA,83.68,86.13,80.6
80.61,81.83,77.36,83.21,81.8,79.12
78.71,83.22,81.78,82.23,81.57,82.51
75.68,78.78,78.48,78.54,NA,NA
76.81,73.23,76.42,83.32,72.05,70.9
80.44,82.06,77.03,NA,77.5,NA
NA,NA,NA,NA,69.11,83.29
85.59,73.95,NA,76.31,77.98,NA
79.83,NA,84.08,NA,80.53,NA
76.45,76.01,NA,80.72,77.47,78.8
81.42,83.59,NA,85.82,87.39,77.43
88.47,88.17,71.41,87.53,NA,NA
74.55,89.42,NA,88.4,84.68,76.49
NA,91.64,NA,95.76,103.02,89.85
84.74,93.29,92.94,NA,94.55,NA
85.73,82.47,NA,NA,NA,NA
94.72,85.16,80.59,94.45,NA,NA
NA,92.45,NA,74.35,73.59,73.25
82.82,84.79,83.04,84.89,84.3,81.2
NA,NA,NA,NA,75.85,79.62
NA,NA,NA,71.27,77.49,NA
NA,NA,82.89,NA,81.09,NA
NA,NA,81.27,81.79,74.48,NA
83.06,74.55,NA,NA,NA,NA
NA,80.18,NA,80.42,79.62,NA
94.57,89.49,88.16,83.9,81.86,84.22
NA,NA,75.48,NA,77.71,76.05
76.88,78.96,75.57,80.94,77.86,79.26
79.84,75.41,NA,80.09,NA,NA
NA,77.73,86.27,84.09,82.53,NA
80.58,81.93,80.04,NA,NA,NA
76.52,NA,77.54,NA,NA,NA
83.07,79.49,84.12,80.3,77.62,NA
85.3,83.51,81.82,82.87,82.17,77.39
NA,81.01,72.63,NA,77.52,78.03
92.21,82.09,86.15,NA,81.06,NA
76.14,81.72,86.83,79.49,NA,NA
NA,86.77,93.77,85.51,88.04,84.01
NA,NA,NA,77.53,79.98,NA
NA,NA,NA,83.79,69.01,NA
89.59,85.47,84.46,82.63,79.32,NA
NA,NA,NA,NA,84.81,78.1
NA,80.41,85.24,NA,79.35,NA
87.41,79.72,NA,78.52,NA,NA
72.5,NA,74.87,NA,79.26,72.47
84.84,83.24,89.29,NA,80.63,NA
81.64,NA,80.42,73.45,NA,NA
85.11,NA,85.07,86.7,84.24,74.62
76.05,82.44,90.93,85.03,82.33,78.63
NA,93.71,NA,88.91,92.87,84.91
93.2,96.4,86.04,92.1,94.81,86.57
82.43,81.9,79.13,NA,NA,NA
79.41,79.03,NA,86.49,83.32,79.76
80.54,82.99,107.66,80.97,93.53,86.14
NA,93.64,NA,92.4,NA,NA
75.84,77.81,75.87,72.15,NA,NA
86.18,84.68,91.97,86.29,75.2,NA
83.38,77.03,82.42,78.75,78.26,NA
77.95,75.53,NA,NA,NA,NA
74.13,NA,81.94,NA,NA,NA
NA,NA,NA,80.55,79.17,NA
79.49,80.96,79.5,89.36,89.08,NA
NA,NA,NA,NA,82.04,80.2
NA,NA,93.11,NA,85.33,NA
76.46,87.3,80.23,84.66,NA,NA
89.13,86.17,89.97,79.37,75.65,NA
76.13,84.15,NA,83.96,81.91,79.86
75.39,78.92,75.92,NA,75.12,NA
NA,75.32,NA,77.12,NA,NA
85.14,81.65,83.58,83.71,81.24,79.03
75.9,81.97,76.96,81.67,79.83,77.97
70.65,81.44,77.08,80.41,78.45,NA
74.66,79.9,NA,79.49,80.41,78.15
73.88,77.01,NA,NA,NA,NA
78.56,78.54,77.66,NA,NA,NA
80.25,85.42,81.08,72.82,NA,NA
81.43,76.96,NA,NA,NA,NA
NA,76.86,NA,80.88,NA,NA
76.44,80.55,NA,NA,NA,NA
82.94,81.34,81.66,80.83,80.42,75.15
82.55,72.74,79.71,73.98,75.96,NA
80.91,79,NA,78.4,NA,NA
NA,78.46,74.26,77.2,NA,NA
81.23,79.76,82.76,78.16,79.36,NA
NA,NA,NA,NA,86.24,79.9
83.4,80.9,82.4,84.7,82.21,78.03
86.48,NA,82.36,NA,77.62,79.12
83.21,80.99,NA,73.08,NA,NA
82.31,80.4,82.59,77.95,77.08,NA
NA,78.11,75.19,76.16,76.57,NA
78.43,81.11,NA,79.27,NA,NA
84.49,80.94,87.32,82.42,NA,NA
76.69,75.96,76.63,NA,NA,NA
85.22,86.45,87.67,81.67,83.12,82.25
NA,NA,NA,NA,79.38,77.33
NA,NA,74.94,74.49,74.79,NA
75.27,79.04,NA,NA,NA,NA
NA,83.74,85.93,85.22,83.46,80.31
83.15,NA,81.88,NA,NA,NA
89.77,NA,74.61,NA,89.11,81.18
82.8,NA,82.53,NA,84.41,77.37
NA,84.18,NA,78.24,NA,NA
NA,81.1,80.82,84.41,78.44,71.29
NA,NA,NA,95.34,94.9,87.84
79.49,78.79,NA,NA,NA,NA
88.54,89.31,82.88,81.76,NA,NA
89.9,NA,84.73,82.01,NA,NA
